景点名字,经纬度,地址,已售票数
桂林锦龙国际赛车场,"110.476226,24.662531",桂林市荔浦县马岭镇地狮村口锦龙国际赛车场（阳朔高田高速出口往荔浦方向8公里）,47
天门山全程索道,"110.692929,26.142402",广西省桂林市资源县天门山景区,52
桂林丹霞温泉度假景区,"110.651889,25.992571",广西省桂林市资源县中峰乡车田湾村,99
罗山湖四季温泉小镇,"110.058192,25.221343",广西省桂林市临桂区罗山湖水库旁（桂林临桂两江国际机场旁）,2
资源天门山,"110.692885,26.14243",广西省桂林市资源县中峰乡车田湾村,2
桂林乐满地主题乐园,"110.682101,25.588829",广西壮族自治区桂林市兴安县志玲路,40
桂林红溪瀑布,"110.106321,25.466937",广西省桂林市临桂县中庸乡,4
漓江逍遥湖景区,"110.429834,25.191806",广西省桂林市灵川县大圩镇上茯荔村,62
桂林金钟山,"110.154003,24.974017",广西壮族自治区桂林市永福县罗锦镇金钟山景区,57
仙家温泉,"110.977695,24.426601",广西壮族自治区桂林市平乐县源头镇仙家村,20
资江,"110.669604,26.064271",广西省桂林市资源县境内,65
十里竹海大峡谷,"110.479386,25.859756",广西桂林市兴安县超然派景区,43
金钟山高尔夫球场,"110.145095,24.995667",广西壮族自治区桂林市永福县罗锦镇金钟山景区,72
桂林海啦啦城市乐园,"110.338931,25.410261",桂林市灵川县灵钢路1号灵川希宇城,72
怨灵屋,"110.294749,25.226238",广西壮族自治区桂林市象山区万福广场4号楼,33
阳朔再忆三姐情实景演出,"110.500651,24.7812",广西桂林市阳朔县阳朔镇西街口益田西街W07号《再忆三姐情》二楼售票处,95
八角寨,"110.74439,26.277801",广西壮族自治区桂林市资源县梅溪乡大坨村境内,40
大地部落户外攀岩基地,"110.49557,24.739341",广西壮族自治区桂林市阳朔县G321(十里画廊),83
超然派景区,"110.494413,25.862084",广西壮族自治区桂林市兴安县中山中路43号,41
桂林直升机空中游览,"110.279844,25.310246",广西省桂林市秀峰区芦笛路（芦笛岩景区停车场旁）,34
CS野战营,"110.319297,25.278148",广西省桂林市七星区七星路1号七星公园内,70
鲁家村,"110.27974,25.30181",桂林市秀峰区桃花江中段,56
正阳步行街,"110.305022,25.284212",广西省桂林市秀峰区正阳步行街（南起杉湖北路，北至解放东路）。,61
资江漂流,"110.653974,26.072122",广西桂林市资源县资江“大合镇至胡家田”流域,72
《漓水古越》山水实景演出,"110.495104,24.73957",广西壮族自治区桂林市阳朔县G65(包茂高速公路),47
资源丹霞地质公园,"110.668925,26.06204",广西省桂林资源县与湖南省新宁县交界,4
老寨山,"110.535429,24.922688",广西桂林市阳朔县兴坪古镇老街头漓江榕树潭边,82
永福岩,"110.152583,24.976073",广西壮族自治区桂林市永福县罗锦镇金钟山旅游度假区,24
罗山湖景区,"110.066785,25.246249",广西省桂林市临桂区罗山水库旁罗山湖景区,67
永福温泉,"110.152773,24.975663",广西壮族自治区桂林市永福县罗锦镇金钟山旅游度假区,2
阳朔香草森林,"110.460674,24.761519",广西省桂林市阳朔县骥马村矮山村门,33
桂林希宇欢乐城,"110.333383,25.410774",广西省桂林市灵川县灵钢路1号,70
旧县村,"110.436827,24.790124",广西省桂林市阳朔县白沙镇旧县村,84
古石城,"110.430814,24.922322",广西省桂林市阳朔县葡萄镇西北部梅岭间,41
